repo,plan,batch_era,tasks,mechanical,fanouts_now,nudge_pairs,fanouts_k2,fanouts_k2_loose,largest_component,fanouts_k2_cap3,fanouts_k2_cap4,fanouts_k2_cap5,fanouts_k2_cap6,parse_warnings
monkey-skills,2026-06-11-brainstorming-greenfield-ui-coverage-nudge.md,False,1,0,1,0,1,1,1,1,1,1,1,
monkey-skills,2026-06-11-spec-toolkit-mvp-critic-first.md,False,7,0,7,1,6,2,2,6,6,6,6,
monkey-skills,2026-06-12-completeness-critic-diverse-panel.md,False,5,0,5,0,5,5,1,5,5,5,5,
monkey-skills,2026-06-12-completeness-critic-v0.2.1-panel-hardening.md,False,3,0,3,0,3,3,1,3,3,3,3,
monkey-skills,2026-06-12-deep-deep-research-vs-angle-selector.md,False,12,0,12,4,8,1,2,8,8,8,8,
monkey-skills,2026-06-12-spec-expansion-v0.2-l2-l3.md,False,7,0,7,3,4,3,3,4,4,4,4,
monkey-skills,2026-06-12-spec-expansion-v0.2.1-dogfood-hardening.md,False,3,0,3,2,1,1,3,1,1,1,1,
monkey-skills,2026-06-13-deep-deep-research-framework-audit-meta-mode.md,False,10,0,10,0,10,2,1,10,10,10,10,
monkey-skills,2026-06-13-framework-audit-backfill-check.md,False,2,0,2,0,2,1,1,2,2,2,2,
monkey-skills,2026-06-13-framework-audit-blindspots-canon-rewrite.md,False,4,0,4,2,2,1,3,2,2,2,2,
monkey-skills,2026-06-13-framework-audit-library-english-only.md,False,3,0,3,0,3,1,1,3,3,3,3,
monkey-skills,2026-06-13-purpose-fit-relevance-floor-lever.md,False,5,0,5,2,3,2,3,3,3,3,3,
monkey-skills,2026-06-14-codex-compat-completion.md,False,8,0,8,0,8,1,1,8,8,8,8,
monkey-skills,2026-06-14-interface-design-toolkit-mvp.md,False,12,0,12,2,10,3,3,10,10,10,10,
monkey-skills,2026-06-14-product-principles-toolkit-mvp.md,False,6,0,6,0,6,2,1,6,6,6,6,
monkey-skills,2026-06-15-synthesis-calibration-prepend.md,False,3,0,3,1,2,1,2,2,2,2,2,
monkey-skills,2026-06-16-design-spec-seam.md,False,2,0,2,0,2,2,1,2,2,2,2,
monkey-skills,2026-06-16-progress-ledger.md,False,4,0,4,0,4,1,1,4,4,4,4,
monkey-skills,2026-06-17-ascii-graph-skill.md,False,13,0,13,1,12,1,2,12,12,12,12,
monkey-skills,2026-06-17-ascii-graph-v2a-layered-arch.md,False,4,0,4,1,3,1,2,3,3,3,3,
monkey-skills,2026-06-17-continuous-mode-auto-advance.md,False,2,0,2,0,2,1,1,2,2,2,2,
monkey-skills,2026-06-17-design-critic.md,False,5,0,5,0,5,1,1,5,5,5,5,
monkey-skills,2026-06-17-principles-conformance-lens.md,False,3,0,3,0,3,2,1,3,3,3,3,
monkey-skills,2026-06-18-ascii-graph-v2c-sequence.md,False,6,0,6,2,4,1,3,4,4,4,4,
monkey-skills,2026-06-19-ascii-graph-multiline-labels.md,False,9,0,9,0,9,4,1,9,9,9,9,
monkey-skills,2026-06-20-skill-dev-toolkit-extraction.md,False,13,0,13,0,13,1,1,13,13,13,13,
monkey-skills,2026-06-21-spec-to-code-wiring.md,False,6,0,6,3,3,1,4,4,3,3,3,
monkey-skills,2026-06-22-deliberate-simplification-ledger.md,False,6,0,6,0,6,1,1,6,6,6,6,
monkey-skills,2026-06-22-git-memory-merge-gate-and-verified-survival.md,False,6,0,6,1,5,1,2,5,5,5,5,
monkey-skills,2026-06-22-loom-code-mining-fixes.md,False,12,0,12,0,12,5,1,12,12,12,12,
monkey-skills,2026-06-23-git-memory-f4-close-out-verify-gate.md,False,5,0,5,0,5,1,1,5,5,5,5,
monkey-skills,2026-06-23-loom-living-spec-index-slice1.md,False,7,0,7,4,3,1,3,3,3,3,3,
monkey-skills,2026-06-23-loom-living-spec-slice2-gitref-warn.md,False,5,0,5,0,5,1,1,5,5,5,5,
monkey-skills,2026-06-23-loom-living-spec-slice3-intent-layer.md,False,5,0,5,2,3,1,3,3,3,3,3,
monkey-skills,2026-06-24-dbt-wiki-materiality-triage.md,False,10,0,10,0,10,1,1,10,10,10,10,
monkey-skills,2026-06-24-loom-living-spec-capstone-g-pr1.md,False,10,0,10,6,5,2,4,6,5,5,5,
monkey-skills,2026-06-24-loom-living-spec-capstone-g-pr2.md,False,7,0,7,2,5,1,2,5,5,5,5,
monkey-skills,2026-06-24-loom-living-spec-slice4-closed-loop.md,False,1,0,1,0,1,1,1,1,1,1,1,
monkey-skills,2026-06-30-codex-compat-all-plugins.md,False,11,0,11,1,10,1,2,10,10,10,10,
monkey-skills,2026-07-03-loom-pipeline-conductor.md,False,17,0,17,1,16,4,2,16,16,16,16,
monkey-skills,2026-07-03-loom-pipeline-v1-1-batch-mode.md,False,13,0,13,10,4,2,10,7,6,5,5,
monkey-skills,2026-07-03-principles-three-jurisdiction-sections.md,False,12,0,12,4,8,5,3,8,8,8,8,
monkey-skills,2026-07-04-loom-family-connective-tissue.md,False,17,0,17,4,13,1,4,14,13,13,13,
monkey-skills,2026-07-06-loom-memory-skill.md,False,3,0,3,0,3,1,1,3,3,3,3,
monkey-skills,2026-07-06-loom-memory-store.md,False,9,0,9,0,9,2,1,9,9,9,9,
monkey-skills,2026-07-06-research-toolkit-triggering.md,False,9,0,9,0,9,1,1,9,9,9,9,
monkey-skills,2026-07-07-deep-deep-research-file-carrier.md,False,6,0,6,1,5,2,2,5,5,5,5,
monkey-skills,2026-07-07-loom-user-communication-overhaul-tasks.md,False,21,0,21,1,20,1,2,20,20,20,20,
monkey-skills,2026-07-08-daily-news-digest-multiview-synthesis.md,False,4,0,4,1,3,2,2,3,3,3,3,
monkey-skills,2026-07-08-deep-deep-research-bakeoff2-bugfixes.md,False,3,0,3,0,3,3,1,3,3,3,3,
monkey-skills,2026-07-08-deep-deep-research-fact-opinion-classification.md,False,7,2,5,2,3,1,2,3,3,3,3,
monkey-skills,2026-07-08-sdd-mechanical-review-weight-tasks.md,False,6,5,1,0,1,1,1,1,1,1,1,
monkey-skills,2026-07-08-w1-l2-e2e-harness.md,False,11,0,11,0,11,1,1,11,11,11,11,
monkey-skills,2026-07-10-ascii-graph-trigger-fix.md,False,4,1,3,0,3,2,1,3,3,3,3,
monkey-skills,2026-07-10-designer-pm-loop-implementation.md,False,14,0,14,1,13,2,2,13,13,13,13,
monkey-skills,2026-07-10-g1-sparse-comment-fixture.md,False,3,0,3,0,3,1,1,3,3,3,3,
monkey-skills,2026-07-10-loom-discovery-station.md,False,14,2,12,1,11,1,2,11,11,11,11,
monkey-skills,2026-07-10-principles-replay-loop.md,False,5,0,5,3,3,2,3,3,3,3,3,
monkey-skills,2026-07-11-escalation-interface-contracts.md,False,6,0,6,0,6,1,1,6,6,6,6,
monkey-skills,2026-07-11-investing-dogfood-fixes.md,False,7,0,7,0,7,7,1,7,7,7,7,
monkey-skills,2026-07-11-investing-obsidian-memory-layer.md,False,3,0,3,3,1,1,3,1,1,1,1,
monkey-skills,2026-07-11-investing-toolkit-data-consolidation.md,False,12,0,12,1,11,1,2,11,11,11,11,
monkey-skills,2026-07-11-principles-replay-l3-loop.md,False,7,0,7,3,4,1,3,4,4,4,4,
monkey-skills,2026-07-11-replay-oracle-calibration.md,False,2,0,2,1,1,1,2,1,1,1,1,
monkey-skills,2026-07-12-principles-mechanical-seed-gate.md,False,4,0,4,1,3,1,2,3,3,3,3,
monkey-skills,2026-07-12-us-sec-narrative-all-items.md,False,3,0,3,2,1,1,3,1,1,1,1,
monkey-skills,2026-07-12-us-sec-narrative.md,False,12,0,12,13,1,1,12,4,3,3,2,
monkey-skills,2026-07-12-visual-anchor-realignment-tone-and-manner.md,False,8,1,7,7,3,2,4,4,3,3,3,
monkey-skills,2026-07-12-visual-style-movement-anchor-and-quality-separation.md,False,7,0,7,3,4,1,2,4,4,4,4,
monkey-skills,2026-07-13-axis-b-relocation-and-tone-manner-seam.md,False,9,2,7,5,3,1,3,3,3,3,3,
monkey-skills,2026-07-13-pocock-compression-philosophy-port.md,False,4,0,4,0,4,1,1,4,4,4,4,
monkey-skills,2026-07-13-us-sec-financial-table-xval.md,False,17,0,17,14,3,2,14,7,6,5,5,
monkey-skills,2026-07-13-us-sec-narrative-memo-wiring.md,False,8,0,8,0,8,3,1,8,8,8,8,Task 1: Files touched present but unparseable; Task 2: Files touched present but unparseable; Task 3: Files touched present but unparseable; Task 4: Files touched present but unparseable; Task 5: Files touched present but unparseable; Task 6: Files touched present but unparseable; Task 7: Files touched present but unparseable; Task 8: Files touched present but unparseable
monkey-skills,2026-07-13-us-sec-xval-memo-wiring.md,False,6,0,6,1,5,2,2,5,5,5,5,
monkey-skills,2026-07-14-afk-research-lane.md,False,5,1,4,2,2,1,3,2,2,2,2,
monkey-skills,2026-07-14-description-token-economy.md,False,14,0,14,2,12,1,2,12,12,12,12,
monkey-skills,2026-07-14-mid-task-ask-layered-defense.md,False,5,0,5,0,5,1,1,5,5,5,5,
monkey-skills,2026-07-14-operational-kpi-bitemporal-store.md,False,8,0,8,7,2,1,7,4,3,3,3,
monkey-skills,2026-07-14-operational-kpi-break-events.md,False,4,0,4,5,1,1,4,2,1,1,1,
monkey-skills,2026-07-14-operational-kpi-cell-parser.md,False,3,0,3,3,1,1,3,1,1,1,1,
monkey-skills,2026-07-14-operational-kpi-companyfacts-pilot.md,False,6,0,6,3,3,1,4,4,3,3,3,
monkey-skills,2026-07-14-operational-kpi-dual-series.md,False,4,0,4,3,2,1,3,2,2,2,2,
monkey-skills,2026-07-14-operational-kpi-memo-feed.md,False,3,0,3,3,1,1,3,1,1,1,1,
monkey-skills,2026-07-14-operational-kpi-reliability-gate.md,False,4,0,4,5,1,1,4,2,1,1,1,
monkey-skills,2026-07-14-operational-kpi-review-queue.md,False,7,0,7,11,1,1,7,3,2,2,2,
monkey-skills,2026-07-14-operational-kpi-schema-lifecycle.md,False,6,0,6,7,2,1,5,3,3,2,2,
monkey-skills,2026-07-14-operational-kpi-value-validation.md,False,6,0,6,12,1,1,6,2,2,2,1,
monkey-skills,2026-07-15-multi-filing-historical-fetch.md,False,6,0,6,2,4,1,2,4,4,4,4,
monkey-skills,2026-07-15-operational-kpi-full-dimensional-signature.md,False,7,0,7,4,3,1,3,3,3,3,3,
monkey-skills,2026-07-16-operational-kpi-quarterly.md,False,18,0,18,11,8,3,7,11,10,9,9,
monkey-skills,2026-07-17-loom-memory-hardening-o4-o2-o3-o5-o6.md,False,11,0,11,5,6,1,4,7,6,6,6,
monkey-skills,2026-07-17-token-budget-two-tier-calibration.md,False,5,0,5,0,5,1,1,5,5,5,5,
monkey-skills,2026-07-18-52-53-week-filer-support.md,False,8,0,8,3,5,1,3,5,5,5,5,
monkey-skills,2026-07-18-loop-convergence-fixes.md,False,21,0,21,8,14,6,6,15,15,15,14,
monkey-skills,2026-07-18-memo-quarterly-kpi-wiring.md,False,8,0,8,0,8,1,1,8,8,8,8,
monkey-skills,2026-07-19-8k-earnings-kpi-intake.md,False,8,0,8,0,8,3,1,8,8,8,8,
monkey-skills,2026-07-19-8k-prose-kpi-intake-part-1.md,False,9,0,9,5,4,3,4,5,4,4,4,
monkey-skills,2026-07-19-closeout-privacy-gate.md,False,10,0,10,2,8,1,2,8,8,8,8,
monkey-skills,2026-07-19-jnj-restatement-axis-signature.md,False,5,0,5,1,4,1,2,4,4,4,4,
monkey-skills,2026-07-19-tw-ixbrl-ingestion.md,False,6,0,6,0,6,1,1,6,6,6,6,Task 1: Files touched present but unparseable; Task 2: Files touched present but unparseable; Task 3: Files touched present but unparseable; Task 4: Files touched present but unparseable; Task 5: Files touched present but unparseable; Task 6: Files touched present but unparseable
monkey-skills,2026-07-20-8k-prose-kpi-intake-part-2.md,False,6,0,6,0,6,5,1,6,6,6,6,
monkey-skills,2026-07-20-loom-gate-hardening-mechanical.md,False,11,0,11,0,11,1,1,11,11,11,11,
monkey-skills,2026-07-22-kpi-observation-history.md,False,9,0,9,2,7,6,2,7,7,7,7,
monkey-skills,2026-07-22-loom-memory-integrity.md,False,6,0,6,1,5,2,2,5,5,5,5,
monkey-skills,2026-07-22-tw-ixbrl-fh-ingestion.md,False,14,0,14,4,10,1,5,11,11,10,10,
monkey-skills,2026-07-23-goal-loop-harness.md,False,8,0,8,1,7,1,2,7,7,7,7,
monkey-skills,2026-07-23-kpi-tearsheet.md,False,9,0,9,1,8,1,2,8,8,8,8,Task 3: Files touched present but unparseable; Task 4: Files touched present but unparseable; Task 5: Files touched present but unparseable; Task 7: Files touched present but unparseable
monkey-skills,2026-07-23-wiki-update-loop.md,False,9,0,9,0,9,2,1,9,9,9,9,
monkey-skills,2026-07-24-dbt-wiki-skill-surface-simplification.md,False,5,0,5,1,4,2,2,4,4,4,4,
monkey-skills,2026-07-24-kpi-xbrl-store-producer.md,False,7,0,7,0,7,1,1,7,7,7,7,
monkey-skills,2026-07-24-tw-financial-ixbrl-followups.md,False,8,0,8,0,8,1,1,8,8,8,8,
monkey-skills,2026-07-24-tw-ixbrl-endorsement.md,False,4,0,4,1,3,1,2,3,3,3,3,
monkey-skills,2026-07-25-bba-proactive-trigger-hardening.md,False,6,0,6,0,6,6,1,6,6,6,6,Task 4: Files touched present but unparseable; Task 5: Files touched present but unparseable
monkey-skills,2026-07-25-company-total-revenue.md,False,11,0,11,2,9,2,3,9,9,9,9,
monkey-skills,2026-07-25-kpi-id-injective-identity.md,False,7,0,7,2,5,2,3,5,5,5,5,
monkey-skills,2026-07-25-tw-kpi-store-producer.md,False,5,0,5,1,4,1,2,4,4,4,4,
monkey-skills,2026-07-26-as-filed-statement-reconstruction.md,False,11,0,11,3,8,1,2,8,8,8,8,Task 10: Files touched present but unparseable
monkey-skills,2026-07-26-us-as-reported-statement-lane.md,False,10,0,10,3,7,2,3,7,7,7,7,
monkey-skills,2026-07-27-plan-stage-fact-grounding.md,False,10,0,10,1,9,2,2,9,9,9,9,Task 3: Files touched present but unparseable
monkey-skills,2026-07-28-docs-citation-check-and-review-mode.md,False,6,0,6,1,5,1,2,5,5,5,5,
monkey-skills,2026-07-28-phase2-loop-execution-only.md,False,4,0,4,0,4,1,1,4,4,4,4,
monkey-skills,2026-07-28-us-quarterly-statement-series.md,False,10,0,10,6,5,1,3,5,5,5,5,
monkey-skills,2026-07-30-copywriting-convergence-modernization.md,False,16,0,16,0,16,2,1,16,16,16,16,
monkey-skills,2026-07-30-docs-review-blocking-class.md,False,4,1,3,1,2,1,2,2,2,2,2,
monkey-skills,2026-07-30-requesting-docs-review-standalone-skill.md,False,8,0,8,0,8,3,1,8,8,8,8,Task 6: Files touched present but unparseable
monkey-skills,2026-07-30-review-round-ledger-and-bad-fix-recheck.md,False,8,1,7,2,5,1,3,5,5,5,5,
monkey-skills,2026-07-31-reuse-adequacy-declaration-hardening.md,False,7,0,7,3,4,1,3,4,4,4,4,
monkey-skills,2026-08-01-backlog-one-entry-per-file.md,False,9,0,9,4,5,4,3,5,5,5,5,
monkey-skills,2026-08-01-declared-vs-actual-files-touched-check.md,False,8,0,8,2,6,4,2,6,6,6,6,
monkey-skills,2026-08-02-finding-origin-attribution.md,False,10,0,10,3,7,2,2,7,7,7,7,
monkey-skills,2026-08-03-review-scope-resolver.md,False,7,0,7,2,5,1,3,5,5,5,5,
monkey-skills,2026-08-04-docs-review-0490-defect-fixes.md,False,12,0,12,2,10,8,2,10,10,10,10,
monkey-skills,2026-08-04-loom-mechanism-defect-fixes.md,False,11,5,6,3,3,3,3,3,3,3,3,
monkey-skills,2026-08-04-mechanical-lane-suite-gate.md,False,3,1,2,0,2,2,1,2,2,2,2,
monkey-skills,2026-08-05-loom-skill-extraction-batch.md,False,5,1,4,0,4,4,1,4,4,4,4,
monkey-skills,2026-08-05-orchestrator-tree-detach-hardening.md,False,4,1,3,0,3,3,1,3,3,3,3,
monkey-skills,2026-08-05-rcr-skill-extraction-pilot.md,False,3,1,2,0,2,2,1,2,2,2,2,
monkey-skills,2026-08-05-request-derived-authorization.md,False,6,1,5,0,5,5,1,5,5,5,5,
monkey-skills,2026-08-05-reviewer-evidence-grade-contract.md,False,4,1,3,1,2,2,2,2,2,2,2,
monkey-skills,2026-08-06-backlog-ready-verb-and-close-loop.md,False,7,1,6,0,6,3,1,6,6,6,6,
monkey-skills,2026-08-06-bounded-auto-third-round-and-dispatch-hardening.md,False,6,0,6,0,6,1,1,6,6,6,6,
monkey-skills,2026-08-06-dispatch-efficiency-trio.md,False,5,1,4,0,4,1,1,4,4,4,4,
monkey-skills,2026-08-06-ledger-writer-and-plan-tooling-hardening.md,False,5,0,5,1,4,1,2,4,4,4,4,
monkey-skills,2026-08-06-progress-card-roadmap-view.md,False,6,1,5,0,5,5,1,5,5,5,5,
monkey-skills,2026-08-06-progress-cards-and-plan-ledger.md,False,9,1,8,0,8,8,1,8,8,8,8,
monkey-skills,2026-08-07-loom-arc2-deletion-first-dimension.md,False,9,0,9,0,9,5,1,9,9,9,9,
monkey-skills,2026-08-07-loom-arc3-memory-index-generation.md,False,6,0,6,0,6,1,1,6,6,6,6,
monkey-skills,2026-08-07-loom-arc4a-prose-slim.md,False,4,0,4,0,4,2,1,4,4,4,4,
monkey-skills,2026-08-07-loom-arc4b-finishing-collapse.md,False,2,0,2,0,2,1,1,2,2,2,2,
monkey-skills,2026-08-07-loom-direction-layer.md,False,10,5,5,1,4,1,2,4,4,4,4,
monkey-skills,2026-08-07-loom-mechanical-dedup-arc1.md,False,9,0,9,0,9,6,1,9,9,9,9,
monkey-skills,2026-08-07-stage-owner-and-blocked-enum.md,False,5,0,5,2,3,1,2,3,3,3,3,
monkey-skills,2026-08-08-progress-display-hardening.md,False,4,0,4,0,4,1,1,4,4,4,4,
monkey-skills,2026-08-10-cheap-hardening-batch.md,False,6,0,6,2,4,2,3,4,4,4,4,
monkey-skills,2026-08-10-design-md-spec-conformance.md,False,5,0,5,3,2,1,4,3,2,2,2,
monkey-skills,2026-08-10-loom-init-scaffold.md,False,4,0,4,0,4,1,1,4,4,4,4,
monkey-skills,2026-08-10-ship-progress-tooling.md,False,5,0,5,0,5,1,1,5,5,5,5,
monkey-skills,2026-08-10-task-mgmt-doc-currency.md,False,4,0,4,0,4,2,1,4,4,4,4,
monkey-skills,2026-08-10-terminal-state-gates.md,False,4,0,4,0,4,1,1,4,4,4,4,
monkey-skills,2026-08-11-review-cost-reduction.md,False,18,2,16,6,10,4,7,12,11,11,11,
monkey-skills,2026-08-11-visualization-trigger-layer.md,False,8,3,5,0,5,5,1,5,5,5,5,
monkey-skills,2026-08-12-adjudication-view-japanese.md,False,9,0,9,2,7,1,3,7,7,7,7,
monkey-skills,2026-08-12-adjudication-view.md,False,12,0,12,3,9,1,2,9,9,9,9,
monkey-skills,2026-08-12-ascii-graph-generative-trigger.md,False,3,1,2,0,2,1,1,2,2,2,2,
monkey-skills,2026-08-13-brief-item-addressability.md,False,11,0,11,3,8,2,4,9,8,8,8,
monkey-skills,2026-08-13-open-question-dispatch-gate.md,False,8,0,8,2,6,2,2,6,6,6,6,
monkey-skills,2026-08-14-loom-doc-language-layering.md,False,6,0,6,0,6,1,1,6,6,6,6,
monkey-skills,2026-08-15-plain-relay-contract.md,False,16,0,16,2,14,4,2,14,14,14,14,
monkey-skills,2026-08-16-loom-design-merge-part-1.md,False,4,0,4,0,4,1,1,4,4,4,4,
monkey-skills,2026-08-16-loom-design-merge-part-2.md,False,9,0,9,0,9,1,1,9,9,9,9,
monkey-skills,2026-08-16-loom-design-merge-part-3.md,False,6,0,6,0,6,1,1,6,6,6,6,
monkey-skills,2026-08-17-artifact-table-routing.md,False,8,2,6,0,6,5,1,6,6,6,6,
monkey-skills,2026-08-18-adjudication-render-staleness-visible.md,False,6,0,6,2,4,1,3,4,4,4,4,
monkey-skills,2026-08-18-onramp-explicit-choice-gate.md,False,11,0,11,1,10,1,2,10,10,10,10,
monkey-skills,2026-08-18-requirement-identity-hybrid.md,False,15,0,15,5,10,1,3,10,10,10,10,
monkey-skills,2026-08-18-think-orbit-plugin-part-1.md,False,16,0,16,4,12,2,3,12,12,12,12,
monkey-skills,2026-08-19-field-value-microstructure.md,False,15,0,15,4,11,3,4,12,11,11,11,
monkey-skills,2026-08-19-think-orbit-transparency-both-faces.md,False,5,0,5,2,3,1,2,3,3,3,3,
monkey-skills,2026-08-20-direction-queue-gate.md,False,8,0,8,1,7,1,2,7,7,7,7,
monkey-skills,2026-08-20-north-star-serves-link.md,False,9,0,9,1,8,2,2,8,8,8,8,
monkey-skills,2026-08-21-code-as-spec-writing-rule.md,False,7,0,7,2,5,5,2,5,5,5,5,
monkey-skills,2026-08-21-dissolve-direction-layer.md,False,14,0,14,0,14,3,1,14,14,14,14,
monkey-skills,2026-08-22-anchor-primary-code-anchors.md,False,5,0,5,1,4,1,2,4,4,4,4,
monkey-skills,2026-08-22-anchor-primary-line-cite-rule.md,False,8,0,8,2,6,1,3,6,6,6,6,
monkey-skills,2026-08-22-autonomy-by-default.md,False,5,0,5,0,5,1,1,5,5,5,5,
monkey-skills,2026-08-22-code-as-spec-lens-no-op-bar.md,False,4,0,4,1,3,2,2,3,3,3,3,
monkey-skills,2026-08-22-contracts-cite-only-what-ships.md,False,5,0,5,2,3,2,2,3,3,3,3,
monkey-skills,2026-08-22-independent-composable-loom-plugins.md,False,9,0,9,0,9,1,1,9,9,9,9,
monkey-skills,2026-08-23-loom-design-specialization.md,False,14,0,14,3,11,1,2,11,11,11,11,
monkey-skills,2026-08-23-post-pr-ci-loop.md,False,4,0,4,1,3,1,2,3,3,3,3,
monkey-skills,2026-08-24-claude-test-profile-live-gate.md,False,3,0,3,1,2,1,2,2,2,2,2,
monkey-skills,2026-08-24-cross-host-review-gate-hardening-part-2.md,True,8,0,8,0,8,1,1,8,8,8,8,
monkey-skills,2026-08-24-cross-host-review-gate-hardening-part-3.md,True,6,0,6,0,6,1,1,6,6,6,6,
monkey-skills,2026-08-24-cross-host-review-gate-hardening-part-4.md,False,13,0,13,0,13,1,1,13,13,13,13,
monkey-skills,2026-08-24-cross-host-review-gate-hardening.md,True,7,0,7,1,6,1,2,6,6,6,6,
monkey-skills,2026-08-24-review-binding-remediation.md,True,7,0,7,0,7,1,1,7,7,7,7,Task 1: no Files touched field; Task 2: no Files touched field; Task 3: no Files touched field; Task 4: no Files touched field; Task 5: no Files touched field; Task 6: no Files touched field; Task 7: no Files touched field
monkey-skills,2026-08-25-loom-design-skill-compaction.md,False,10,0,10,0,10,1,1,10,10,10,10,
monkey-skills,2026-08-25-loom-skill-text-compaction-part-1.md,False,6,0,6,0,6,1,1,6,6,6,6,
monkey-skills,2026-08-25-loom-workflow-skill-compaction.md,False,9,0,9,0,9,1,1,9,9,9,9,
monkey-skills,2026-08-25-reviewer-packet-fail-closed.md,False,6,0,6,1,5,1,2,5,5,5,5,
monkey-skills,2026-08-25-seam-contracts.md,False,8,1,7,1,6,3,2,6,6,6,6,
monkey-skills,2026-08-26-loom-code-skill-compaction.md,False,15,0,15,0,15,1,1,15,15,15,15,
monkey-skills,2026-08-26-skill-refactor-package-mode.md,False,5,0,5,3,2,1,4,3,2,2,2,
